,DEPARTAMENTO,MUNICIPIO,Total_100 y más,Total Hombres,Total Mujeres,Total,Total_0_4,Total_5_14,Total_15_44,Total_45_64,Total_65_84,Total_85_99
128627,RISARALDA,MISTRATO,5,8744,8513,17257,2468,4070,6925,2559,1118,112
128780,RISARALDA,PUEBLO RICO,3,8336,8114,16450,2960,4303,6195,2055,842,92
128933,RISARALDA,QUINCHIA,6,13848,13426,27274,2197,4476,11142,6049,3056,348
129086,RISARALDA,SANTA ROSA DE CABAL,25,38873,40499,79372,4719,10326,34479,19326,9374,1123
129239,RISARALDA,SANTUARIO,7,6360,6074,12434,764,1862,4896,3179,1560,166
129392,SANTANDER,BUCARAMANGA,415,288704,318724,607428,38794,78615,286651,138271,57031,7651
129545,SANTANDER,AGUADA,0,961,906,1867,115,236,775,448,250,43
129698,SANTANDER,ALBANIA,0,2263,2073,4336,262,641,1536,1094,704,99
129851,SANTANDER,ARATOCA,1,4334,4153,8487,606,1349,3732,1886,816,97
130004,SANTANDER,BARBOSA,8,15827,16826,32653,2368,5115,14672,7143,2954,393
130157,SANTANDER,BARICHARA,2,5274,5541,10815,789,1593,4176,2675,1368,212
130310,SANTANDER,BARRANCABERMEJA,36,102574,108155,210729,18278,34863,97795,43117,14983,1657
130463,SANTANDER,BETULIA,2,3222,2839,6061,544,1090,2590,1262,497,76
130616,SANTANDER,BOLIVAR,6,5599,5381,10980,741,1861,4423,2456,1320,173
130769,SANTANDER,CABRERA,0,1003,1018,2021,129,317,768,491,281,35
130922,SANTANDER,CALIFORNIA,0,1144,1088,2232,242,372,1026,417,154,21
131075,SANTANDER,CAPITANEJO,2,2754,2725,5479,353,827,2103,1279,774,141
131228,SANTANDER,CARCASI,1,2289,1970,4259,328,763,1787,874,459,47
131381,SANTANDER,CEPITA,0,1025,1000,2025,145,332,887,428,207,26
131534,SANTANDER,CERRITO,3,3644,3289,6933,578,1148,3161,1356,596,91
131687,SANTANDER,CHARALA,4,6062,6210,12272,912,1923,4817,2968,1452,196
131840,SANTANDER,CHARTA,0,1494,1394,2888,221,393,1113,727,380,54
131993,SANTANDER,CHIMA,0,1490,1376,2866,210,466,1097,727,329,37
132146,SANTANDER,CHIPATA,2,2661,2432,5093,246,703,1942,1299,779,122
132299,SANTANDER,CIMITARRA,12,17672,16731,34403,2805,6091,16644,6316,2279,256
132452,SANTANDER,CONCEPCION,2,2927,2830,5757,434,934,2353,1267,665,102
132605,SANTANDER,CONFINES,0,1752,1542,3294,330,554,1375,729,274,32
132758,SANTANDER,CONTRATACION,3,1812,1887,3699,216,503,1271,968,636,102
132911,SANTANDER,COROMORO,1,2667,2357,5024,431,846,1994,1183,507,62
133064,SANTANDER,CURITI,10,6623,6660,13283,1028,2117,5578,3030,1353,167
133217,SANTANDER,EL CARMEN DE CHUCURI,14,11268,10552,21820,1845,4021,10085,4299,1413,143
133370,SANTANDER,EL GUACAMAYO,0,1037,1048,2085,133,335,802,512,275,28
133523,SANTANDER,EL PEÑON,2,2929,2578,5507,465,1123,2468,973,420,56
133676,SANTANDER,EL PLAYON,3,7205,6833,14038,1199,2545,6216,2725,1176,174
133829,SANTANDER,ENCINO,0,1346,1237,2583,232,479,1070,561,214,27
133982,SANTANDER,ENCISO,0,1764,1681,3445,233,505,1401,846,409,51
134135,SANTANDER,FLORIAN,2,2882,2707,5589,374,1001,2267,1274,570,101
134288,SANTANDER,FLORIDABLANCA,99,145563,162333,307896,20344,41274,144884,70544,27633,3118
134441,SANTANDER,GALAN,0,1484,1407,2891,239,452,1112,687,349,52
134594,SANTANDER,GAMBITA,0,2091,1922,4013,354,722,1557,889,436,55
134747,SANTANDER,GIRON,55,84290,87614,171904,13014,25766,83907,35589,12216,1357
134900,SANTANDER,GUACA,1,3127,2782,5909,449,980,2518,1266,626,69
135053,SANTANDER,GUADALUPE,0,2241,2227,4468,259,709,1651,1140,616,93
135206,SANTANDER,GUAPOTA,0,1248,1165,2413,169,389,959,614,255,27
135359,SANTANDER,GUAVATA,0,2111,2080,4191,189,530,1436,1221,707,108
135512,SANTANDER,GÜEPSA,0,2679,2630,5309,364,781,2253,1271,537,103
135665,SANTANDER,HATO,0,1273,1097,2370,183,386,1001,553,225,22
135818,SANTANDER,JESUS MARIA,0,1699,1640,3339,187,509,1209,891,475,68
135971,SANTANDER,JORDAN,0,680,656,1336,120,228,593,269,116,10
136124,SANTANDER,LA BELLEZA,2,3177,3001,6178,432,1033,2539,1435,641,96
136277,SANTANDER,LANDAZURI,4,5445,5143,10588,793,1834,4399,2362,1038,158
136430,SANTANDER,LA PAZ,2,2582,2335,4917,270,733,1793,1301,707,111
136583,SANTANDER,LEBRIJA,26,22533,21636,44169,3545,7202,21463,8717,2848,368
136736,SANTANDER,LOS SANTOS,4,7654,7133,14787,1246,2574,6713,2961,1149,140
136889,SANTANDER,MACARAVITA,0,1105,999,2104,156,357,803,445,295,48
137042,SANTANDER,MALAGA,13,10404,11268,21672,1472,3431,9506,4761,2137,352
137195,SANTANDER,MATANZA,2,2646,2389,5035,366,746,2006,1239,582,94
137348,SANTANDER,MOGOTES,3,5361,5286,10647,938,1930,4357,2157,1126,136
137501,SANTANDER,MOLAGAVITA,1,2170,1936,4106,219,654,1610,991,560,71
137654,SANTANDER,OCAMONTE,2,3087,2723,5810,436,967,2383,1409,558,55
137807,SANTANDER,OIBA,3,5601,5574,11175,787,1770,4665,2690,1088,172
137960,SANTANDER,ONZAGA,0,2137,1945,4082,257,624,1434,1021,638,108
138113,SANTANDER,PALMAR,0,719,688,1407,91,223,568,328,173,24
138266,SANTANDER,PALMAS DEL SOCORRO,0,1332,1294,2626,205,422,1051,612,289,47
138419,SANTANDER,PARAMO,0,2536,2333,4869,431,817,2188,983,402,48
138572,SANTANDER,PIEDECUESTA,88,88820,94139,182959,13625,27394,87846,39114,13329,1563
138725,SANTANDER,PINCHOTE,2,2767,2618,5385,355,786,2300,1274,579,89
138878,SANTANDER,PUENTE NACIONAL,4,7404,7440,14844,804,2161,5427,3735,2332,381
139031,SANTANDER,PUERTO PARRA,2,4117,3900,8017,895,1593,3535,1474,462,56
139184,SANTANDER,PUERTO WILCHES,10,17617,16589,34206,3489,6733,15181,6403,2111,279
139337,SANTANDER,RIONEGRO,5,14273,12789,27062,2270,4570,11586,5995,2354,282
139490,SANTANDER,SABANA DE TORRES,9,17515,17041,34556,3585,6644,16079,6072,1954,213
139643,SANTANDER,SAN ANDRES,1,4498,4098,8596,574,1278,3253,2116,1194,180
139796,SANTANDER,SAN BENITO,0,1603,1369,2972,179,411,1194,767,347,74
139949,SANTANDER,SAN GIL,11,28627,31043,59670,4270,8633,27109,13432,5502,713
140102,SANTANDER,SAN JOAQUIN,0,1144,1064,2208,158,376,817,499,319,39
140255,SANTANDER,SAN JOSE DE MIRANDA,1,2223,2066,4289,259,644,1742,967,582,94
140408,SANTANDER,SAN MIGUEL,0,1327,1151,2478,190,396,975,558,320,39
140561,SANTANDER,SAN VICENTE DE CHUCURI,10,17532,16061,33593,2584,5704,14986,7236,2790,283
140714,SANTANDER,SANTA BARBARA,0,1328,1120,2448,183,374,1062,544,257,28
140867,SANTANDER,SANTA HELENA DEL OPON,0,1791,1620,3411,285,644,1518,708,229,27
141020,SANTANDER,SIMACOTA,2,5456,4770,10226,809,1796,4256,2333,912,118
141173,SANTANDER,SOCORRO,23,16091,17537,33628,2090,4738,15314,7711,3274,478
141326,SANTANDER,SUAITA,3,5133,5025,10158,674,1514,3779,2594,1389,205
141479,SANTANDER,SUCRE,2,3627,3437,7064,480,1167,2669,1756,832,158
141632,SANTANDER,SURATA,0,2055,1932,3987,333,614,1603,935,435,67
141785,SANTANDER,TONA,2,4118,3600,7718,654,1309,3413,1648,615,77
141938,SANTANDER,VALLE DE SAN JOSE,2,3203,3133,6336,474,1031,2724,1427,607,71
142091,SANTANDER,VELEZ,16,13154,12065,25219,1279,3291,11433,5821,2918,461
142244,SANTANDER,VETAS,0,1100,1068,2168,154,351,947,487,201,28
142397,SANTANDER,VILLANUEVA,2,3920,4062,7982,547,1205,3131,1991,969,137
142550,SANTANDER,ZAPATOCA,2,4656,4910,9566,745,1539,3589,2266,1246,179
142703,SUCRE,SINCELEJO,125,142123,151828,293951,24172,49544,138472,57909,21203,2526
142856,SUCRE,BUENAVISTA,2,5484,5480,10964,988,2017,4723,2262,856,116
143009,SUCRE,CAIMITO,4,8311,7717,16028,1376,3029,7348,2901,1205,165
143162,SUCRE,COLOSO,12,4575,4157,8732,755,1535,3727,1748,822,133
143315,SUCRE,COROZAL,27,34873,35980,70853,5449,11641,32064,14759,6149,764
143468,SUCRE,COVEÑAS,6,11008,8508,19516,1529,3087,10746,3113,908,127
143621,SUCRE,CHALAN,0,2462,2142,4604,352,824,2036,922,402,68
143774,SUCRE,EL ROBLE,4,5371,5068,10439,908,1916,4455,2062,971,123
143927,SUCRE,GALERAS,10,11872,11366,23238,2165,4459,10250,4260,1842,252
144080,SUCRE,GUARANDA,6,9609,8992,18601,1980,3851,8033,3300,1259,172
144233,SUCRE,LA UNION,4,6737,6257,12994,1025,2282,5658,2626,1214,185
144386,SUCRE,LOS PALMITOS,9,12130,11754,23884,2125,4123,10360,4925,2071,271
144539,SUCRE,MAJAGUAL,18,19856,18450,38306,3785,7443,16366,7156,3110,428
144692,SUCRE,MORROA,8,7934,7924,15858,1447,2781,7237,3078,1146,161
144845,SUCRE,OVEJAS,9,12049,11387,23436,1924,3973,10249,4735,2269,277
144998,SUCRE,PALMITO,8,7768,7288,15056,1472,2984,7149,2324,966,153
145151,SUCRE,SAMPUES,18,24695,24124,48819,4587,9063,22848,8542,3339,422
145304,SUCRE,SAN BENITO ABAD,20,15576,14198,29774,2636,5689,13315,5533,2306,275
145457,SUCRE,SAN JUAN DE BETULIA,8,7258,6933,14191,1038,2316,6103,3307,1262,157
145610,SUCRE,SAN MARCOS,40,30172,30394,60566,5634,11838,26427,11131,4829,667
145763,SUCRE,SAN ONOFRE,20,25965,25144,51109,5105,10797,21560,9162,3923,542
145916,SUCRE,SAN PEDRO,6,9671,9539,19210,1626,3362,8061,4126,1810,219
146069,SUCRE,SAN LUIS DE SINCE,14,16088,15815,31903,2576,5398,13380,6937,3077,521
146222,SUCRE,SUCRE,14,16551,14263,30814,2853,5599,12553,6336,3049,410
146375,SUCRE,SANTIAGO DE TOLU,11,16769,17348,34117,3292,6653,15228,6373,2263,297
146528,SUCRE,TOLU VIEJO,14,11304,10985,22289,1888,3977,9981,4311,1847,271
146681,TOLIMA,IBAGUE,242,258275,282826,541101,31632,72847,248757,124789,55928,6906
146834,TOLIMA,ALPUJARRA,0,2300,2158,4458,272,684,1561,1189,633,119
146987,TOLIMA,ALVARADO,4,4447,4268,8715,621,1348,3519,2093,993,137
147140,TOLIMA,AMBALEMA,2,3340,3221,6561,427,1000,2504,1675,855,98
147293,TOLIMA,ANZOATEGUI,2,5237,4769,10006,828,1896,4251,2164,783,82
147446,TOLIMA,ARMERO,4,6126,5912,12038,761,1750,4598,3176,1572,177
147599,TOLIMA,ATACO,6,10020,9097,19117,1933,3950,7831,3616,1565,216
147752,TOLIMA,CAJAMARCA,4,9516,8926,18442,1468,3030,8052,4051,1640,197
147905,TOLIMA,CARMEN DE APICALA,2,5223,5225,10448,653,1513,4437,2523,1167,153
148058,TOLIMA,CASABIANCA,2,3374,2923,6297,509,1095,2518,1493,608,72
148211,TOLIMA,CHAPARRAL,11,25889,24852,50741,4306,9340,21614,10137,4677,656
148364,TOLIMA,COELLO,2,4211,4109,8320,582,1305,3204,1939,1135,153
148517,TOLIMA,COYAIMA,7,11472,11018,22490,1891,4166,8355,4777,2911,383
148670,TOLIMA,CUNDAY,2,4369,4003,8372,598,1381,2847,2117,1280,147
148823,TOLIMA,DOLORES,2,4245,3940,8185,571,1270,3048,2059,1062,173
148976,TOLIMA,ESPINAL,53,34855,36160,71015,4396,9908,30868,17314,7545,931
149129,TOLIMA,FALAN,2,3834,3552,7386,513,1190,2713,1888,957,123
149282,TOLIMA,FLANDES,8,14081,14534,28615,1943,4213,11976,6967,3205,303
149435,TOLIMA,FRESNO,10,16007,15184,31191,2161,4997,13236,7343,3068,376
149588,TOLIMA,GUAMO,10,16235,16537,32772,2117,4857,12552,8169,4493,574
149741,TOLIMA,HERVEO,2,3703,3510,7213,493,1189,2886,1815,747,81
149894,TOLIMA,HONDA,10,12032,12510,24542,1372,3200,9792,6322,3410,436
150047,TOLIMA,ICONONZO,4,6180,5713,11893,842,1861,4460,2814,1680,232
150200,TOLIMA,LERIDA,8,9126,9491,18617,1252,2718,7352,4709,2285,293
150353,TOLIMA,LIBANO,23,17873,18358,36231,2250,5440,13866,9225,4785,642
150506,TOLIMA,MARIQUITA,12,18835,19498,38333,2574,5780,16219,9060,4189,499
150659,TOLIMA,MELGAR,20,19042,18640,37682,2713,5618,18306,7782,2900,343
150812,TOLIMA,MURILLO,0,2235,1908,4143,336,784,1740,901,357,25
150965,TOLIMA,NATAGAIMA,10,7322,7350,14672,876,2158,5302,3693,2289,344
151118,TOLIMA,ORTEGA,24,17783,16537,34320,2929,6302,14051,6618,3814,582
151271,TOLIMA,PALOCABILDO,2,5073,4741,9814,828,1746,3878,2244,992,124
151424,TOLIMA,PIEDRAS,2,3540,3221,6761,419,981,2860,1579,786,134
151577,TOLIMA,PLANADAS,7,13390,12409,25799,2856,5550,11387,4336,1491,172
151730,TOLIMA,PRADO,4,4331,4084,8415,632,1348,3134,2133,1033,131
151883,TOLIMA,PURIFICACION,9,11656,11882,23538,1643,3454,9025,5930,3023,454
152036,TOLIMA,RIOBLANCO,7,11879,10738,22617,2663,4990,9632,3833,1332,160
152189,TOLIMA,RONCESVALLES,2,2903,2576,5479,470,1058,2391,1116,400,42
152342,TOLIMA,ROVIRA,10,11048,10443,21491,1740,4016,8981,4399,2031,314
152495,TOLIMA,SALDAÑA,4,7110,7363,14473,961,2224,5831,3533,1680,240
152648,TOLIMA,SAN ANTONIO,4,6576,5994,12570,1095,2448,5154,2559,1107,203
152801,TOLIMA,SAN LUIS,16,6852,6599,13451,833,2018,4929,3352,2001,302
152954,TOLIMA,SANTA ISABEL,2,3010,2663,5673,434,1019,2310,1290,544,74
153107,TOLIMA,SUAREZ,0,1947,1825,3772,229,492,1432,950,583,86
153260,TOLIMA,VALLE DE SAN JUAN,0,2731,2629,5360,356,866,1986,1286,751,115
153413,TOLIMA,VENADILLO,4,6526,6197,12723,879,2016,4870,3115,1623,216
153566,TOLIMA,VILLAHERMOSA,5,4800,4386,9186,757,1605,3601,2228,906,84
153719,TOLIMA,VILLARRICA,2,2619,2341,4960,376,751,1718,1240,766,107
153872,VALLE,CALI,1460,1050869,1201747,2252616,157990,321059,1004010,513684,224825,29588
154025,VALLE,ALCALA,2,7192,7103,14295,1089,2383,5760,3330,1571,160
154178,VALLE,ANDALUCIA,9,10933,11661,22594,1662,3537,9218,5309,2520,339
154331,VALLE,ANSERMANUEVO,4,8737,8579,17316,1512,3097,6957,3897,1679,170
154484,VALLE,ARGELIA,0,2732,2445,5177,391,956,1943,1263,574,50
154637,VALLE,BOLIVAR,11,7885,7829,15714,1381,2835,6010,3411,1806,260
154790,VALLE,BUENAVENTURA,128,148113,163714,311827,36983,70340,137068,48513,17122,1673
154943,VALLE,GUADALAJARA DE BUGA,71,61664,67281,128945,9330,19391,54459,30037,13932,1725
155096,VALLE,BUGALAGRANDE,10,12055,12410,24465,1688,3845,9964,5818,2788,352
155249,VALLE,CAICEDONIA,14,14139,14382,28521,1898,4361,11400,7034,3361,453
155402,VALLE,CALIMA,12,9097,9169,18266,1315,2946,7655,4293,1836,209
155555,VALLE,CANDELARIA,41,45630,48581,94211,8098,16026,42227,19753,7242,824
155708,VALLE,CARTAGO,33,63976,73326,137302,8991,20033,57777,32353,16281,1834
155861,VALLE,DAGUA,13,24675,24340,49015,3970,8280,20007,10699,5452,594
156014,VALLE,EL AGUILA,2,4482,4080,8562,699,1582,3265,2083,856,75
156167,VALLE,EL CAIRO,1,3500,3006,6506,545,1135,2445,1568,743,69
156320,VALLE,EL CERRITO,26,27407,29726,57133,4331,9105,24365,13072,5599,635
156473,VALLE,EL DOVIO,4,4213,4403,8616,811,1654,3400,1799,846,102
156626,VALLE,FLORIDA,28,28145,29816,57961,4617,9907,25602,11961,5245,601
156779,VALLE,GINEBRA,13,11371,11675,23046,1600,3655,9696,5266,2519,297
156932,VALLE,GUACARI,12,16240,17338,33578,2615,5544,14081,7688,3197,441
157085,VALLE,JAMUNDI,110,81026,86121,167147,12481,26403,76643,36675,13237,1598
157238,VALLE,LA CUMBRE,14,8369,8140,16509,1031,2343,6199,4193,2396,333
157391,VALLE,LA UNION,11,16261,18232,34493,2463,5549,14240,8237,3608,385
157544,VALLE,LA VICTORIA,42,5616,6251,11867,764,1736,4279,3141,1652,253
157697,VALLE,OBANDO,2,5924,6118,12042,920,2037,4763,2807,1367,146
157850,VALLE,PALMIRA,306,169249,185036,354285,25653,52138,153641,81149,36708,4690
158003,VALLE,PRADERA,19,23073,25092,48165,3721,8532,21342,9594,4392,565
158156,VALLE,RESTREPO,4,7580,7724,15304,1218,2567,6333,3399,1583,200
158309,VALLE,RIOFRIO,4,7692,7771,15463,1261,2633,6098,3661,1610,196
158462,VALLE,ROLDANILLO,19,17433,19353,36786,2491,5728,14851,8943,4230,524
158615,VALLE,SAN PEDRO,4,8494,8707,17201,1349,2863,7266,3861,1656,202
158768,VALLE,SEVILLA,19,20363,20790,41153,2641,6265,16138,10118,5347,625
158921,VALLE,TORO,4,6927,7462,14389,1066,2524,5497,3412,1709,177
159074,VALLE,TRUJILLO,4,9523,9459,18982,1515,3444,7305,4376,2086,252
159227,VALLE,TULUA,96,103689,115123,218812,15745,34537,94235,49599,21970,2630
159380,VALLE,ULLOA,0,2792,2589,5381,413,907,2129,1262,607,63
159533,VALLE,VERSALLES,3,3404,3546,6950,512,1102,2609,1762,868,94
159686,VALLE,VIJES,4,6535,6349,12884,937,1998,5258,2954,1517,216
159839,VALLE,YOTOCO,4,8106,8091,16197,1179,2586,6747,3752,1724,205
159992,VALLE,YUMBO,55,53232,56837,110069,8378,17710,50158,23669,8949,1150
160145,VALLE,ZARZAL,19,20075,22332,42407,3190,7021,18170,9289,4215,503
160298,ARAUCA,ARAUCA,17,48097,48717,96814,8925,16772,48651,17179,4735,535
160451,ARAUCA,ARAUQUITA,9,29272,26937,56209,6178,11409,26656,8754,2838,365
160604,ARAUCA,CRAVO NORTE,0,2162,1981,4143,428,701,1914,777,276,47
160757,ARAUCA,FORTUL,2,10054,10094,20148,2257,4189,9638,2946,961,155
160910,ARAUCA,PUERTO RONDON,0,2542,2377,4919,490,887,2325,872,306,39
161063,ARAUCA,SARAVENA,13,30863,32141,63004,6303,11912,30613,10169,3540,454
161216,ARAUCA,TAME,11,24622,24347,48969,5311,9848,23293,7778,2396,332
161369,CASANARE,YOPAL,15,87865,89823,177688,15132,29569,92492,32105,7733,642
161522,CASANARE,AGUAZUL,5,19025,18985,38010,3327,6610,18594,7211,2071,192
161675,CASANARE,CHAMEZA,0,1368,1266,2634,238,482,1207,517,171,19
161828,CASANARE,HATO COROZAL,1,6318,5790,12108,1348,2729,5356,1939,654,81
161981,CASANARE,LA SALINA,0,740,629,1369,125,303,659,181,91,10
162134,CASANARE,MANI,1,9130,8333,17463,1710,3177,8178,3309,980,108
162287,CASANARE,MONTERREY,3,8943,9066,18009,1616,3103,8436,3612,1120,119
162440,CASANARE,NUNCHIA,0,4686,4027,8713,859,1567,3890,1736,600,61
162593,CASANARE,OROCUE,1,6499,6153,12652,1411,2816,5626,2073,665,60
162746,CASANARE,PAZ DE ARIPORO,8,18952,18395,37347,3954,7355,17156,6479,2179,216
162899,CASANARE,PORE,1,6180,5879,12059,1249,2432,5595,2013,684,85
163052,CASANARE,RECETOR,0,989,807,1796,157,271,785,417,150,16
163205,CASANARE,SABANALARGA,0,1815,1754,3569,260,579,1593,783,316,38
163358,CASANARE,SACAMA,0,1048,1011,2059,211,378,992,338,132,8
163511,CASANARE,SAN LUIS DE PALENQUE,0,4309,4037,8346,855,1603,3748,1551,542,47
163664,CASANARE,TAMARA,0,3484,3083,6567,639,1402,2781,1191,489,65
163817,CASANARE,TAURAMENA,3,12761,12412,25173,2327,4724,12474,4365,1174,106
163970,CASANARE,TRINIDAD,1,6813,6636,13449,1479,2670,6163,2299,767,70
164123,CASANARE,VILLANUEVA,3,18293,17891,36184,3288,6433,17759,6631,1909,161
164276,PUTUMAYO,MOCOA,12,28811,30127,58938,4710,9416,29797,10743,3774,486
164429,PUTUMAYO,COLON,2,2634,2896,5530,492,851,2548,1084,488,65
164582,PUTUMAYO,ORITO,9,19277,19467,38744,3618,7520,18964,6261,2146,226
164735,PUTUMAYO,PUERTO ASIS,19,33738,33473,67211,5685,12176,33896,11350,3678,407
164888,PUTUMAYO,PUERTO CAICEDO,4,8307,7700,16007,1500,2808,7691,2905,966,133
165041,PUTUMAYO,PUERTO GUZMAN,10,19299,17366,36665,4084,8274,16396,6001,1684,216
165194,PUTUMAYO,PUERTO LEGUIZAMO,7,15656,13838,29494,3411,6638,13647,4326,1321,144
165347,PUTUMAYO,SIBUNDOY,4,7390,8083,15473,1188,2405,7125,3210,1348,193
165500,PUTUMAYO,SAN FRANCISCO,2,2707,2860,5567,413,908,2518,1065,579,82
165653,PUTUMAYO,SAN MIGUEL,4,9848,9586,19434,1906,3802,9532,3079,1003,108
165806,PUTUMAYO,SANTIAGO,4,3536,3772,7308,717,1287,3289,1250,631,130
165959,PUTUMAYO,VALLE DEL GUAMUEZ,9,17374,17286,34660,2718,6292,17414,6086,1932,209
166112,PUTUMAYO,VILLAGARZON,5,12036,12060,24096,2318,4612,11836,3845,1300,180
166265,SAN ANDRES,SAN ANDRES,27,27693,29740,57433,4445,8321,25322,14690,4302,326
166418,SAN ANDRES,PROVIDENCIA,0,3045,3214,6259,481,1002,2692,1523,518,43
166571,AMAZONAS,LETICIA,11,25486,24251,49737,5722,11174,23263,7222,2060,285
166724,AMAZONAS,EL ENCANTO (CD),0,1130,947,2077,263,563,855,273,110,13
166877,AMAZONAS,LA CHORRERA (CD),0,1653,1302,2955,375,982,1094,331,158,15
167030,AMAZONAS,LA PEDRERA (CD),1,2063,1884,3947,499,1003,1755,470,165,54
167183,AMAZONAS,LA VICTORIA (CD),0,323,339,662,85,141,266,118,18,34
167336,AMAZONAS,MIRITI - PARANA (CD),0,1047,832,1879,239,479,861,186,97,17
167489,AMAZONAS,PUERTO ALEGRIA (CD),0,425,346,771,126,192,314,92,37,10
167642,AMAZONAS,PUERTO ARICA (CD),0,539,503,1042,149,242,408,159,72,12
167795,AMAZONAS,PUERTO NARIÑO,1,5349,4890,10239,1303,2716,4547,1178,410,84
167948,AMAZONAS,PUERTO SANTANDER (CD),0,933,839,1772,231,504,684,228,105,20
168101,AMAZONAS,TARAPACA (CD),2,2087,1852,3939,570,1060,1666,422,159,60
168254,GUAINIA,INIRIDA,8,17345,16338,33683,3849,7812,15935,4543,1314,222
168407,GUAINIA,BARRANCOMINAS,0,4841,4213,9054,1701,3063,3476,638,158,18
168560,GUAINIA,MAPIRIPANA (CD),0,0,0,0,0,0,0,0,0,0
168713,GUAINIA,SAN FELIPE (CD),0,899,844,1743,238,529,723,198,52,3
168866,GUAINIA,PUERTO COLOMBIA (CD),0,1038,946,1984,265,609,793,223,91,3
169019,GUAINIA,LA GUADALUPE (CD),0,155,141,296,54,100,107,20,12,3
169172,GUAINIA,CACAHUAL (CD),0,461,442,903,124,315,340,93,28,3
169325,GUAINIA,PANA PANA (CD),0,1071,940,2011,362,556,831,196,62,4
169478,GUAINIA,MORICHAL (CD),0,499,463,962,156,279,408,86,30,3
169631,GUAVIARE,SAN JOSE DEL GUAVIARE,13,28520,27300,55820,6014,11211,26609,9029,2735,209
169784,GUAVIARE,CALAMAR,10,5636,4433,10069,1161,1951,4577,1860,453,57
169937,GUAVIARE,EL RETORNO,10,7393,6329,13722,1450,3178,5812,2507,701,64
170090,GUAVIARE,MIRAFLORES,0,4296,2750,7046,768,1639,2707,1532,381,19
170243,VAUPES,MITU,7,17105,15688,32793,4468,9595,13619,3738,1221,145
170396,VAUPES,CARURU,0,1726,1475,3201,427,1014,1272,342,123,23
170549,VAUPES,PACOA (CD),2,2314,2108,4422,811,1424,1729,340,81,35
170702,VAUPES,TARAIRA,0,1248,1175,2423,416,682,1003,248,63,11
170855,VAUPES,PAPUNAHUA (CD),0,436,340,776,170,189,297,84,25,11
171008,VAUPES,YAVARATE (CD),0,569,528,1097,94,461,412,82,37,11
171161,VICHADA,PUERTO CARREÑO,4,10520,9774,20294,2106,3856,10392,3089,797,50
171314,VICHADA,LA PRIMAVERA,1,5055,4553,9608,948,2097,4546,1534,436,46
171467,VICHADA,SANTA ROSALIA,0,2173,2020,4193,381,970,1977,671,180,14
171620,VICHADA,CUMARIBO,18,41840,37023,78863,10538,21092,35333,9348,2364,170
172621,COLOMBIA,COLOMBIA,19219,20887044,21741425,42628469,3433969,6938817,19541755,8757142,3512813,424754
